Uid,Vehicle id,Data date,Year,Make,Model,Model fr,Local version name,Trim,Manufacturer code,Msrp,Evox
79805705,79805720050301,2005-03-01,2005,Hyundai,Tucson,Tucson,GL 2.0 FWD 5MT,GL,None,19995.00,2906 | 2005 Hyundai Tucson LX
794962721,794962720210128,2021-01-28,2021,Hyundai,Kona,Kona,Essential 2.0 FWD 6AT,Essential,KO1SAF20B100,21299.00,14562 | 2021 Hyundai Kona Ultimate
794962821,794962820210128,2021-01-28,2021,Hyundai,Kona,Kona,Essential 2.0 AWD 6AT,Essential,KO1SAA20B100,23299.00,14562 | 2021 Hyundai Kona Ultimate
794962921,794962920210128,2021-01-28,2021,Hyundai,Kona,Kona,Trend 1.6T AWD DCT,Trend,KO1SDA16D241/KO1SDA16D287,26899.00,14562 | 2021 Hyundai Kona Ultimate
794963021,794963020210128,2021-01-28,2021,Hyundai,Kona,Kona,Ultimate 1.6T AWD DCT,Ultimate,KO1SDA16D400,32299.00,14562 | 2021 Hyundai Kona Ultimate
794963121,794963120210128,2021-01-28,2021,Hyundai,Kona,Kona,Preferred 2.0 FWD 6AT,Preferred,KO1SAF20B200,23049.00,14562 | 2021 Hyundai Kona Ultimate
794963221,794963220210128,2021-01-28,2021,Hyundai,Kona,Kona,Preferred 2.0 AWD 6AT,Preferred,KO1SAA20B200,25049.00,14562 | 2021 Hyundai Kona Ultimate
794963321,794963320210128,2021-01-28,2021,Hyundai,Kona,Kona,Luxury 2.0 AWD 6AT,Luxury,KO1SAA20B300,27999.00,14484 | 2021 Hyundai Kona SEL
800266821,800266820210128,2021-01-28,2021,Hyundai,Kona,Kona,Ultimate w/Red Colour Pack 1.6T AWD DCT,Ultimate w/Red Colour Pack,KO1SDA16D489,32499.00,14562 | 2021 Hyundai Kona Ultimate
819090521,819090520210128,2021-01-28,2021,Hyundai,Kona,Kona,Urban Edition 1.6T AWD DCT,Urban Edition,KO1SDA16DX76,28499.00,14562 | 2021 Hyundai Kona Ultimate
822920321,822920320210128,2021-01-28,2021,Hyundai,Kona,Kona,Limited Edition 1.6T AWD DCT,Limited Edition,KO1SDA16DX43,28499.00,14562 | 2021 Hyundai Kona Ultimate
732658817,732658820170401,2017-04-01,2017,Hyundai,Sonata,Sonata,2.0T Sport w/Ultimate Package Colour,2.0T Sport w/Ultimate Package Colour,SO74AF20DE22,36249.00,11435 | 2017 Hyundai Sonata Sport 2.0T
732659017,732659020170401,2017-04-01,2017,Hyundai,Sonata,Sonata,Sport Tech,Sport Tech,SO74AF24BS55,30649.00,11435 | 2017 Hyundai Sonata Sport 2.0T
735909117,735909120170401,2017-04-01,2017,Hyundai,Sonata,Sonata,GLS,GLS,SO74AF24BC00,27499.00,11428 | 2017 Hyundai Sonata SE
735909118,735909120180201,2018-02-01,2018,Hyundai,Sonata,Sonata,GLS,GLS,SO74AF24BC00,28649.00,12093 | 2018 Hyundai Sonata SE
735909119,735909120190103,2019-01-03,2019,Hyundai,Sonata,Sonata,Preferred,Preferred,SO74AF24B200,28799.00,13068 | 2019 Hyundai Sonata Sport
735909217,735909220170401,2017-04-01,2017,Hyundai,Sonata,Sonata,GL,GL,SO74AF24BB00,24799.00,11429 | 2017 Hyundai Sonata Limited
735909218,735909220180201,2018-02-01,2018,Hyundai,Sonata,Sonata,GL,GL,SO74AF24BB00,24799.00,12146 | 2018 Hyundai Sonata SEL
735909219,735909220190103,2019-01-03,2019,Hyundai,Sonata,Sonata,Essential,Essential,SO74AF24B100,24899.00,13172 | 2019 Hyundai Sonata SE
760241617,760241620180201,2018-02-01,2017,Hyundai,Sonata Hybrid,Sonata hybride,Limited w/Colour Pack,Limited w/Colour Pack,SH74AF20ID95,33799.00,11527 | 2017 Hyundai Sonata Hybrid Limited
760241717,760241720180201,2018-02-01,2017,Hyundai,Sonata Hybrid,Sonata hybride,Ultimate,Ultimate,SH74AF20ID20,37499.00,11527 | 2017 Hyundai Sonata Hybrid Limited
760241718,760241720190103,2019-01-03,2018,Hyundai,Sonata Hybrid,Sonata hybride,Limited,Limited,SH74AF20ID20,37999.00,13235 | 2018 Hyundai Sonata Hybrid SE
760241719,760241720190903,2019-09-03,2019,Hyundai,Sonata Hybrid,Sonata hybride,Ultimate,Ultimate,SH74AF20I400,38099.00,13480 | 2019 Hyundai Sonata Hybrid Limited
764175917,764175920180201,2018-02-01,2017,Hyundai,Sonata Plug-In Hybrid,Sonata Plug-In Hybrid,Ultimate,Ultimate,SH74AF20PQ20,43999.00,11429 | 2017 Hyundai Sonata Limited
764175918,764175920190103,2019-01-03,2018,Hyundai,Sonata Plug-In Hybrid,Sonata Plug-In Hybrid,Limited,Limited,SH74AF20PQ00,44799.00,12146 | 2018 Hyundai Sonata SEL
764175919,764175920201001,2020-10-01,2019,Hyundai,Sonata Plug-In Hybrid,Sonata Plug-In Hybrid,Ultimate,Ultimate,SH74AF20P700,44899.00,13517 | 2019 Hyundai Sonata Plug-in Hybrid  Limited
766105917,766105920180201,2018-02-01,2017,Hyundai,Sonata Plug-In Hybrid,Sonata Plug-In Hybrid,Ultimate w/Colour Pack,Ultimate w/Colour Pack,SH74AF20PQ22,43999.00,11480 | 2017 Hyundai Sonata Limited 2.0T
768162817,768162820170401,2017-04-01,2017,Hyundai,Sonata,Sonata,Limited,Limited,SO74AF24BD00,34649.00,11429 | 2017 Hyundai Sonata Limited
768162818,768162820180201,2018-02-01,2018,Hyundai,Sonata,Sonata,Limited,Limited,SO74AF24BD00,34699.00,12146 | 2018 Hyundai Sonata SEL
768162819,768162820190103,2019-01-03,2019,Hyundai,Sonata,Sonata,Luxury,Luxury,SO74AF24B300,34899.00,13068 | 2019 Hyundai Sonata Sport
783506518,783506520180201,2018-02-01,2018,Hyundai,IONIQ Hybrid,IONIQ hybride,Blue DCT,Blue,IO15DF16IU00,24299.00,12640 | 2018 Hyundai Ioniq Hybrid Blue
783506519,783506520190103,2019-01-03,2019,Hyundai,IONIQ Hybrid,IONIQ hybride,Essential DCT,Essential,IO15DF16I100,24399.00,13200 | 2019 Hyundai Ioniq Hybrid SEL
783506618,783506620180201,2018-02-01,2018,Hyundai,IONIQ Hybrid,IONIQ hybride,SE DCT,SE,IO15DF16IL00,26499.00,12639 | 2018 Hyundai Ioniq Hybrid SEL
783506619,783506620190103,2019-01-03,2019,Hyundai,IONIQ Hybrid,IONIQ hybride,Preferred DCT,Preferred,IO15DF16I200,26599.00,13067 | 2019 Hyundai Ioniq Hybrid Limited
